,species,island,bill_length_mm,bill_depth_mm,flipper_length_mm,body_mass_g,sex,year
0,0,2,39.1,18.7,181.0,3750.0,1,2007
1,0,2,39.5,17.4,186.0,3800.0,0,2007
2,0,2,40.3,18.0,195.0,3250.0,0,2007
4,0,2,36.7,19.3,193.0,3450.0,0,2007
5,0,2,39.3,20.6,190.0,3650.0,1,2007
6,0,2,38.9,17.8,181.0,3625.0,0,2007
7,0,2,39.2,19.6,195.0,4675.0,1,2007
12,0,2,41.1,17.6,182.0,3200.0,0,2007
13,0,2,38.6,21.2,191.0,3800.0,1,2007
14,0,2,34.6,21.1,198.0,4400.0,1,2007
15,0,2,36.6,17.8,185.0,3700.0,0,2007
16,0,2,38.7,19.0,195.0,3450.0,0,2007
17,0,2,42.5,20.7,197.0,4500.0,1,2007
18,0,2,34.4,18.4,184.0,3325.0,0,2007
19,0,2,46.0,21.5,194.0,4200.0,1,2007
20,0,0,37.8,18.3,174.0,3400.0,0,2007
21,0,0,37.7,18.7,180.0,3600.0,1,2007
22,0,0,35.9,19.2,189.0,3800.0,0,2007
23,0,0,38.2,18.1,185.0,3950.0,1,2007
24,0,0,38.8,17.2,180.0,3800.0,1,2007
25,0,0,35.3,18.9,187.0,3800.0,0,2007
26,0,0,40.6,18.6,183.0,3550.0,1,2007
27,0,0,40.5,17.9,187.0,3200.0,0,2007
28,0,0,37.9,18.6,172.0,3150.0,0,2007
29,0,0,40.5,18.9,180.0,3950.0,1,2007
30,0,1,39.5,16.7,178.0,3250.0,0,2007
31,0,1,37.2,18.1,178.0,3900.0,1,2007
32,0,1,39.5,17.8,188.0,3300.0,0,2007
33,0,1,40.9,18.9,184.0,3900.0,1,2007
34,0,1,36.4,17.0,195.0,3325.0,0,2007
35,0,1,39.2,21.1,196.0,4150.0,1,2007
36,0,1,38.8,20.0,190.0,3950.0,1,2007
37,0,1,42.2,18.5,180.0,3550.0,0,2007
38,0,1,37.6,19.3,181.0,3300.0,0,2007
39,0,1,39.8,19.1,184.0,4650.0,1,2007
40,0,1,36.5,18.0,182.0,3150.0,0,2007
41,0,1,40.8,18.4,195.0,3900.0,1,2007
42,0,1,36.0,18.5,186.0,3100.0,0,2007
43,0,1,44.1,19.7,196.0,4400.0,1,2007
44,0,1,37.0,16.9,185.0,3000.0,0,2007
45,0,1,39.6,18.8,190.0,4600.0,1,2007
46,0,1,41.1,19.0,182.0,3425.0,1,2007
48,0,1,36.0,17.9,190.0,3450.0,0,2007
49,0,1,42.3,21.2,191.0,4150.0,1,2007
50,0,0,39.6,17.7,186.0,3500.0,0,2008
51,0,0,40.1,18.9,188.0,4300.0,1,2008
52,0,0,35.0,17.9,190.0,3450.0,0,2008
53,0,0,42.0,19.5,200.0,4050.0,1,2008
54,0,0,34.5,18.1,187.0,2900.0,0,2008
55,0,0,41.4,18.6,191.0,3700.0,1,2008
56,0,0,39.0,17.5,186.0,3550.0,0,2008
57,0,0,40.6,18.8,193.0,3800.0,1,2008
58,0,0,36.5,16.6,181.0,2850.0,0,2008
59,0,0,37.6,19.1,194.0,3750.0,1,2008
60,0,0,35.7,16.9,185.0,3150.0,0,2008
61,0,0,41.3,21.1,195.0,4400.0,1,2008
62,0,0,37.6,17.0,185.0,3600.0,0,2008
63,0,0,41.1,18.2,192.0,4050.0,1,2008
64,0,0,36.4,17.1,184.0,2850.0,0,2008
65,0,0,41.6,18.0,192.0,3950.0,1,2008
66,0,0,35.5,16.2,195.0,3350.0,0,2008
67,0,0,41.1,19.1,188.0,4100.0,1,2008
68,0,2,35.9,16.6,190.0,3050.0,0,2008
69,0,2,41.8,19.4,198.0,4450.0,1,2008
70,0,2,33.5,19.0,190.0,3600.0,0,2008
71,0,2,39.7,18.4,190.0,3900.0,1,2008
72,0,2,39.6,17.2,196.0,3550.0,0,2008
73,0,2,45.8,18.9,197.0,4150.0,1,2008
74,0,2,35.5,17.5,190.0,3700.0,0,2008
75,0,2,42.8,18.5,195.0,4250.0,1,2008
76,0,2,40.9,16.8,191.0,3700.0,0,2008
77,0,2,37.2,19.4,184.0,3900.0,1,2008
78,0,2,36.2,16.1,187.0,3550.0,0,2008
79,0,2,42.1,19.1,195.0,4000.0,1,2008
80,0,2,34.6,17.2,189.0,3200.0,0,2008
81,0,2,42.9,17.6,196.0,4700.0,1,2008
82,0,2,36.7,18.8,187.0,3800.0,0,2008
83,0,2,35.1,19.4,193.0,4200.0,1,2008
